<242,9>
<1347,2>
<1740,1>
<2114,4>
<4454,1>
<5223,1>
<6041,1>
<6392,1>
<6402,3>
<8071,1>
<8933,1>
<9285,2>
<9435,1>
<9824,1>
<12409,1>
<12426,1>
<12753,1>
<16227,1>
<16772,1>
<16799,1>
<17097,1>
<17437,1>
<18148,1>
<18883,1>
<20337,4>
<21229,1>
<21284,2>
<21639,2>
<21696,2>
<21969,1>
<22545,3>
<24364,1>
<24394,1>
<24500,4>
<24899,1>
<25431,1>
<26325,1>
<26572,2>
<27369,1>
<27832,1>
<28926,1>
<30214,4>
<31516,1>
<35808,1>
<37489,3>
<38427,1>
<40582,1>
<41762,1>
<41962,1>
<42193,4>
<43143,1>
<43152,1>
<43725,1>
<45403,3>
<46611,1>
<46728,1>
<47132,1>
<48518,2>
<49041,1>
<49991,2>
<50087,1>
<50413,1>
<50672,1>
<50922,3>
<51659,1>
<53536,1>
<53969,1>
<55102,1>
<55552,2>
<56631,1>
<57657,1>
<57836,2>
<60955,1>
<61081,2>
<61486,2>
<63352,1>
<63601,1>
<64812,4>
<64946,1>
<66116,1>
<66137,1>
<66290,1>
<66320,1>
<66675,1>
<67188,2>
<67604,1>
<68296,2>
<68698,2>
<69105,1>
<69429,2>
<69504,1>
<69667,1>
<70924,1>
<71426,1>
<71526,1>
<73205,1>
<74135,1>
<74154,2>
<74453,1>
<76044,1>
<76635,1>
<77193,3>
<78062,1>
<78331,2>
<78378,1>
<78698,2>
<78733,1>
<79797,1>
<80027,4>
<80465,2>
<80542,1>
<81972,1>
<82703,1>
<82920,3>
<83671,1>
<85066,1>
<85787,1>
<87197,1>
<87351,1>
<88203,1>
<88216,3>
<88763,1>
<89130,8>
<92806,1>
<94086,1>
<95400,1>
<95687,1>
<96898,1>
<96952,1>
<97144,1>
<97486,1>
<99016,1>
<99477,2>
<101214,1>
